Profil Adı;Delta;Theta;Alpha;Beta;Gamma;
YARATICI LİDER;Orta;Orta;Yüksek;Yüksek;Yüksek;
KARARLI GÖZLEMCİ;Orta-Düşük;Yüksek;Yüksek;Orta;Orta-Yüksek;
ZİHİNSEL SAVAŞÇI ;Düşük;Düşük    ;Düşük;Orta;Yüksek;
ODAĞI YÜKSEK;Düşük;Düşük    ;Yüksek;Orta;Düşük;EMPATİK SAVAŞÇI
YAŞAM USTASI;Orta;Orta;Yüksek;Yüksek;Orta; 
İSTİKRAR SEVEN;Orta;Orta;Orta;Orta;Düşük;İÇ ODAKLI DUYGUSAL
SESSİZ GÖZLEMCİ;Yüksek;Düşük    ;Orta;Orta;Düşük;DERİN SESSİZ
HUZUR ODAKLI YAŞAYAN;Yüksek;Orta;Orta;Orta;Düşük;SESSİZ GÖZLEMCİ
DİNGİN YAŞAYAN;Yüksek;Yüksek;Yüksek;Orta;Düşük;KEYİF YOLCUSU
DENGE YOLCUSU;Orta;Orta;Orta;Orta;Orta;RAHATINA DÜŞKÜN
MEDİTATİF LİDER;Orta;Yüksek;Orta;Orta;Yüksek;
BİLİNÇLİ ÖNDER;Orta;Orta;Orta;Yüksek;Yüksek;
VİZYON USTASI;Orta;Orta;Orta;Orta;Yüksek;
YARATICI ODAK;Orta - Düşük;Orta - Düşük;Yüksek;Yüksek;Orta;
VERİ MEDİTATÖRÜ;Düşük;Orta - Düşük;Orta;Yüksek;Orta;
GÜÇ ODAKLI YÖNETEN;Orta;Düşük    ;Düşük;Yüksek;Orta-Düşük; 
GÖREV İNSANI;Orta;Düşük    ;Orta;Orta;Orta;
KONTROLLÜ YAŞAYAN ;Orta-Yüksek;Düşük    ;Orta;Yüksek;Orta;
ÇÖZÜM ODAKLI;Düşük;Orta;Orta;Yüksek;Yüksek;
EMPATİK SAVAŞÇI;Düşük;Yüksek;Orta;Düşük;Orta;
KENDİNİ BİLEN;Orta;Orta;Yüksek;Orta;Düşük;
İÇ GÖZLEMCİ;Yüksek;Orta;Orta;Düşük;Düşük;
DETAYLARA HAKİM;Orta;Düşük    ;Düşük;Yüksek;Orta;
SEZGİSEL STRATEJİST;Orta - Düşük;Orta;Düşük;Yüksek;Yüksek;
EMPATİK LİDER;Düşük;Yüksek;Orta;Orta;Yüksek;
YÜKSEK BİLİNÇLİ;;;;;;
DENGE USTASI;;;;;;
ZİHİN YOLCUSU;;;;;;
Güç odaklı 2;Orta;Düşük    ;Düşük-Orta;Orta;Orta; 
 ; ; ;; ; ; 
 ; ; ; ; ; ;
 ; ; ; ; ; ;
 ; ; ; ; ; ;
;;;;;;
 ; ; ; ; ; ;
